"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29"
"AP2",0.000939825246807863,-0.0993125243779457,0.036219829484508,-0.0182799348841916,-0.00619172724704753,-0.0313811653129721,-0.0147001378791684,-0.0316663994609848,-0.0775637926684828,-0.0312920690120958,0.0974138536378741,0.113690581053509,0.0933798156498321,0.00932753013856976,0.084839026793529,-0.0741108500549323,0.123055029327785,0.0942735213477407,-0.0970121053805762,-0.0890231397336555,-0.185239179945941,-0.0998272650151307,0.148138671078346,-0.219243167060032,0.105359456547034,-0.0498629552823222,0.117427306434,-0.733193084786576,0.0515028067151273
"ARF",-0.212240556884881,-0.244616350116847,-0.0745794363858499,0.0713591525926891,0.13185148722292,-0.136478591714927,0.176017262755963,-0.12987843549231,0.15441721171186,-0.211296807344944,-0.149534157027172,0.115757393002164,0.0698084341273671,0.0198908448377299,0.0997629351662489,0.11334404216778,0.039683076571143,-0.245594203586273,-0.0264584610083843,-0.192009621378377,0.0782661708422341,0.263138318253181,0.153381481288982,-0.0688564253494338,-0.349675350054381,0.0133474451974294,0.0244632735783086,-0.0784872008237496,-0.0291370091412322
"ARID",0.026502402051019,0.00251845726801879,0.0145506749505789,0.0838282949825706,0.173423258845445,0.0218957705904034,-0.076334886524245,0.0738194305471409,0.0428317402807117,-0.0448369032558395,0.13019623165827,-0.0534843681763971,0.224112012863958,0.0650471843638177,-0.11521332774386,0.166259795794551,0.0534336662246877,-0.04561650785981,-0.167293802669268,-0.159828507723435,0.109149887206287,0.00653734638087827,-0.194790366544047,0.331011575101968,0.0532512342270668,-0.0625947049983893,0.0256786679545929,-0.176240032638729,-0.0685599491523953
"ARR-B",-0.265643665896494,0.028177099698691,0.0114289762199325,0.0907447920514119,0.158394510498173,0.0327455203206904,0.200718246685672,0.0659402105255839,0.0247682638222048,-0.00331956456499266,0.0177556039501168,0.0514292485330282,0.0496881513571592,0.0196316210556241,-0.147905180411871,0.210246639126262,-0.105745166527773,0.062101889131024,-0.0889781115311085,0.0773074449740833,-0.0560059105245578,0.127473106893135,-0.021056927663607,0.190018562216152,0.318908967377613,-0.0377576473792549,-0.187173241783764,-0.123065089331551,0.062928650421791
"B3",-0.0445058426206078,0.000172114360997244,0.039959096149743,-0.0315275432677663,-0.00729449916203565,0.0633071173768527,-0.0598872645839069,-0.0539536068709794,0.0591735978384868,-0.0166696442627052,-0.0379041232565126,0.0080453941311041,-0.0475668019275845,-0.138188542586247,0.127259043646515,0.197404799829965,0.00333493894886974,0.202272459236885,0.0142958177358578,-0.13450318834202,0.0615836718974746,0.0542141933903183,-0.066250312696764,0.0967785892924931,0.146846998582312,-0.00804919883519508,-0.12603334515225,0.212916028483221,-0.00953951837740178
"BBR-BPC",-0.116253695028455,0.0170153427174898,-0.0134343217949953,0.164068824094196,-0.07868709205928,0.245354023110115,0.10639553151954,0.0429120322387307,0.0609602665796361,-0.208982177213357,-0.461703487746686,-0.124230490760691,0.0836993657082966,0.141436404194533,0.0272993560339217,-0.238086450149784,-0.123499221637911,0.09210210983149,0.108367938473555,0.201329593497884,0.247632619885399,-0.050593184879023,-0.283492280500737,-0.0338651426123647,-0.109722118002077,0.0242249189183023,0.0734251185582312,-0.106035218622947,-0.00246362877496763
"BES1",-0.0270918970080653,-0.241457778407373,-0.211345676186345,-0.0900343603441666,0.13270061768068,0.115518922980452,0.287024163055616,0.212124678299046,-0.192880247474538,0.291637401616766,-0.103543263830384,-0.0499646326683468,0.071026707169018,0.00966265933529887,0.13103749642772,-0.264636549895213,-0.195225133278619,-0.137147319254066,0.041160719044674,-0.122100552834275,-0.24377070849854,-0.100936834345617,-0.0925344970106177,0.143931075915928,0.260557298273962,0.06870133359296,0.117795404916272,0.154268958685188,-0.0879292179957688
"bZIP",-0.044505842620608,0.000172114360997254,0.039959096149743,-0.0315275432677664,-0.00729449916203567,0.0633071173768528,-0.0598872645839067,-0.0539536068709794,0.0591735978384866,-0.0166696442627054,-0.0379041232565125,0.00804539413110409,-0.0475668019275842,-0.138188542586247,0.127259043646515,0.197404799829965,0.00333493894886993,0.202272459236885,0.014295817735858,-0.13450318834202,0.0615836718974751,0.0542141933903186,-0.0662503126967642,0.096778589292492,0.146846998582312,-0.008049198835195,-0.12603334515225,-0.0163346283096049,0.0279495466835888
"C2C2COlike",0.0178681579328265,-0.0611117942646017,0.0741488311089161,0.0422935362941859,0.0171953303522816,-0.0415356513749407,-0.00628514521049033,0.155589727733415,0.0782624986056452,0.000270768820185402,-0.135399455967125,-0.0512215948719587,-0.14971388172165,0.186211700020602,0.0968373617552751,-0.0870575407773955,0.0208204418226825,0.132128418588305,-0.0621490348981971,-0.395589909243722,0.163702849785666,-0.159745638581213,-0.0926004299851529,-0.14123177316093,0.0295055730046838,-0.236347208874005,-0.274154110543775,-0.025381548196938,0.0717163056875819
"C3H",0.0229099725934723,0.0209142540533173,-0.0468572600628628,-0.048094008666115,0.042093868603272,0.0263523892560174,0.0286233984788102,-0.0273728527419449,-0.0118767166376493,0.0371884159949545,-0.0715199564103315,0.0387477384570552,-0.00364082207383779,0.13453531992281,-0.0415650928743422,-0.0501262876770008,-0.0131947124388596,0.316924791169264,0.060938381978201,0.0178915277667162,-0.0724389273137008,-0.0283847264766704,-0.100838851275584,0.137654325251317,-0.260923490983628,-0.135604546090655,0.403582286555874,-0.0684520869328415,-0.123114354777304
