"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29"
"C3HZincfinger",-0.0707742548196228,-0.152954033441475,0.0736072439357121,-0.127738296203691,0.00983111145513533,0.129775943112764,-0.0959144271523037,-0.190571859525747,-0.308296006090914,-0.0325925684190281,-0.028803723960053,0.0493252481175851,0.121647872865453,-0.0582580121612474,0.344231012701179,0.195149793143688,0.144067002663342,-0.00660775006226687,0.0595005393492148,0.164856450478158,0.114222863073673,-0.128826339435052,-0.190981072617523,0.0608906652128618,0.0737758679679927,0.0858941372091786,-0.0960952114158758,-0.0627655644126148,-0.0286364580719195
"CAMTA",-0.0226413475029908,-0.0879419199398333,-0.0918965241304195,0.0683783849774922,0.0507227761563583,-0.050421398506555,0.00743379104635562,-0.118425630176311,0.180911432893188,0.124190310375365,0.141323093467406,0.0405282254930761,-0.0598473022513998,-0.114742460781814,-0.140733784258689,-0.0631416535387504,-0.161319764061325,0.134186236249237,-0.197289376274591,0.028635541209761,0.0393475807673529,-0.0749528696251537,-0.0606713895702698,-0.047210967991279,-0.131029679334395,-0.127817648186383,-0.0858144593068416,0.196120711443561,0.135533360540988
"CG-1",0.0612369046702475,-0.11322850567567,-0.11181710974299,0.129417475828795,0.107191637838727,-0.0608665402019971,-0.0753874315788209,-0.106979015216878,0.0762635294793148,0.169640705540174,-0.0205602955113806,0.156688756969726,0.0334592885619614,-0.365762674496976,-0.0389942487864602,0.0648107577641712,-0.340972697891827,0.180341636055635,-0.0807831874160903,0.019430798337107,0.0534974216605039,-0.225709080819676,0.0369644723598751,-0.0536855582853598,-0.149782840053161,0.0983042189562843,0.0402707211220682,0.0153143022691093,0.122274465274903
"CPP",-0.278999776619839,-0.0967069741281341,0.00607524058956108,-0.0650803036081892,-0.0151895952124502,-0.109970315554725,0.00721731079008413,-0.0535689167119783,-0.138297156114744,0.0487926690302813,0.108296310632724,0.0929929259370774,0.0889006958775561,-0.024659350908769,0.120884112550841,-0.117748749225946,0.1014137316034,0.100216546509187,-0.0784880433518789,0.0558922789828613,0.189727341530744,-0.17050240361383,-0.121380652809349,0.040967420657587,-0.0816387989322071,-0.0820489903480873,0.0305463777554377,0.107976740445125,0.00587297274327767
"CSD",0.00874510087536601,-0.328869073731125,0.30669211569089,-0.20603912310922,0.015542664858558,0.0233107591486145,-0.0411024350080354,0.0622181373893764,0.0419162206471914,0.0864852547056435,-0.160541873210857,-0.383810273586371,-0.0237176874601957,-0.242730414063844,-0.186411093472296,-0.0097311205187566,-0.0251011742427282,-0.00914631902253479,-0.142465883069396,-0.0917790000871149,0.212349534635969,0.131234069458782,0.152235994715358,-0.0372446024895852,0.0730778833924218,-0.0251398928186893,0.0596370116910632,-0.0876989322212313,0.0543887249411718
"E2F",-0.0107103968474208,-0.0894820640455496,-0.0691568526722396,-0.00563570204062019,0.0661434202564828,0.061794582587686,-0.0182558990480383,-0.0711090080033915,0.020766904413293,0.0886116631667233,0.047792589941362,0.0284975965255391,-0.105876202159446,-0.0261191962662786,-0.188626322556086,0.0184439165984951,-0.0323355387646364,0.0183094513229684,-0.104946974375188,0.0219981525592294,0.125673819616566,-0.047348880436404,-0.0866075404452169,-0.192482921146595,-0.0123356299991998,0.0411956537946452,-0.193013561119512,-0.0779979884555237,-0.883113810497333
"E2F/DP",0.0104760132436718,-0.142223759468612,-0.0840049466862339,-0.0969305505925628,-0.247897633703061,0.326455052379763,-0.00807561003157868,-0.0502252841374221,0.000625350060890149,0.375568043637054,0.264188672020854,-0.000294358172873535,-0.0174360040669439,0.15837096210281,0.0537040138516556,0.1717648474736,0.0206221093475807,0.0606441460351894,-0.0182661866690874,0.0377490667031944,-0.0641677512558708,0.00803887425184256,0.065485981548639,0.199690057291215,-0.312039064059612,0.0460750137056129,-0.201007789221827,-0.148230524190722,0.064244190743796
"EIL",-0.197527531065762,-0.27385154030376,-0.109114413493794,0.185487860995775,-0.183840864397035,-0.0632487228786888,-0.189878236014038,0.0691963355851715,0.0425647483443422,-0.0478724236103404,0.0105089090038192,-0.224928537734292,0.0637328699424688,0.0837564909374627,-0.038573293194757,0.0974986322776814,-0.110811561841723,0.137607212606412,-0.128632321301908,0.234102469649825,-0.137121905446765,0.0121982346008717,-0.0563603853327549,-0.107391802577634,0.00534608830674577,0.117070953350427,0.0563320978405446,0.0355147402809183,0.048401338994622
"EIN3",0.0427509399781926,-0.346683517372152,-0.0879615750525877,0.251808349221907,-0.250547328731653,-0.0618712168905544,-0.242823963418489,0.107370494100323,0.0462733831273268,0.0156143319984587,-0.0736196767512075,-0.00263407396683126,0.166875177238804,0.191404102067959,-0.0412257181549132,0.059553517582832,-0.184743269800379,0.0197162636528677,-0.0100018841073149,0.125923680724796,-0.0650921795560666,0.134631535717594,0.000843787035789989,-0.0229895108974807,0.0800024215980153,-0.0315928448257506,-0.0705434862360362,-0.0492275783072167,0.00749022414105018
"ERF",-0.280781928955758,0.0775754961849551,-0.0351542494993796,-0.0350299759006368,0.0292300207432275,-0.0188991780290341,0.00563875925576317,0.00223483929376081,-0.00690155870460664,0.0776652807686113,0.0194486465604733,-0.0244737404920966,-0.0211870179816006,-0.0375993338057841,-0.0842289998147226,-0.000356391577179358,-0.00860091625131217,0.0509724062548926,0.00548922439041905,-0.0176870529792288,0.00134056714103103,-0.0176910121364918,0.0227837320613241,-0.0291994824353814,0.0310361094771293,0.000617991641086566,0.0382990291242121,-0.0925096556440569,0.038378407591536
"FAR1",0.0838782521732382,-0.0252865857358368,-0.0199205856125704,0.0610390908513025,0.0564688616823682,-0.0104451416954422,-0.0828212226251763,0.0114466149594333,-0.104647903413873,0.0454503951648094,-0.161883388978787,0.11616053147665,0.0933065908133611,-0.251020213715163,0.101739535472229,0.127952411302922,-0.179652933830502,0.0461553998063978,0.1165061888585,-0.00920474287265396,0.0141498408931514,-0.150756211194523,0.0976358619301454,-0.00647459029408074,-0.0187531607187664,0.226121867142668,0.12608518042891,-0.0700832498609739,-0.0321121349619252
"G2-like",-0.255462512836636,0.198333252312179,0.0208270331744424,0.0556163629111503,-0.136724035001184,-0.0877581883961565,0.0215959529636819,0.0512426947547615,-0.0962783729794905,0.00367620922547759,-0.0426246512603118,-0.106240482302891,0.128683576020994,-0.0235992049878267,0.0397436211429405,0.0809289146973665,0.0270181001905382,0.125377501807391,0.025564817203384,-0.069684410191656,-0.189871783716615,0.0410844610085729,-0.116600609032419,-0.180815380534338,-0.215036251917131,-0.286244551388878,-0.181570057892244,0.103091694126882,-0.0262138016794952
"GeBP",-0.0885302672414309,-0.190453997707291,-0.115432475429771,-0.236309521391966,0.132741968412994,0.0732363529006065,0.221055393961489,-0.0112212245797592,0.110619046081574,-0.0744512378369524,-0.0353710859314319,0.173354718757712,0.044943849677929,-0.103121555787998,-0.101098485800098,-0.0302381350495783,-0.058106399498255,-0.0780373021472325,0.397166328209521,-0.0184459145122908,-0.106089245659978,0.0431180614594476,-0.139668678214043,-0.103435753928181,-0.182775238242249,0.155884280553815,-0.326852348269079,-0.097704186541242,0.125547424103268
"GRAS",-0.0992630925389135,-0.0407274777353149,-0.0334497960787631,0.00373860122239514,-0.20294191645805,0.227298035271686,0.207540530875927,0.203575635754374,-0.122964929735741,-0.0360095824097045,0.0784783529829782,0.0661928177604795,0.12992957831082,-0.210802469874792,0.269454688027076,0.0533756933062718,-0.10834529796974,-0.223693215134427,-0.318351097935395,0.0539913834006605,0.149004755123821,0.224401868071845,0.119121215119096,-0.221171214162165,0.0094783814654444,-0.170704232286233,0.0901130843300177,0.0808308071648786,-0.0267217623121161
"GRF",-0.0905380518236184,-0.0670386389332368,0.361897258447563,0.248490411518225,-0.105939982905964,-0.111333140795834,0.183642372840386,-0.232681782805725,0.0476684294063815,0.200286153225212,0.00167179602846201,-0.0681169836987565,0.00693319664400416,0.0102293046536337,0.0403551537512832,-0.00356575015254519,0.0218990883352442,-0.0943375412782426,0.0740810487272712,-0.132197856643584,-0.0617204697843953,-0.0118504566722563,-0.0485602046528554,0.0432161688579292,-0.0304769770007032,0.102231447133698,0.0968299450977962,0.0772720828574148,-0.0602369770379456
"HB-PHD",-0.0579159364107966,-0.122559804509194,0.216121124140213,0.0902463908059482,0.185338190437567,0.219482560399103,-0.386970093747453,0.198507387945921,-0.0846730323400385,-0.111954445745013,-0.00595581807489996,0.300395055208415,0.0513900606761974,-0.131766132025703,-0.162633202310098,-0.0559486687844272,0.0394751972101022,0.03636264832326,-0.00191626468988595,-0.317685138149441,-0.0489675086810539,0.145112511664529,-0.185441299720366,-0.0455750711337016,-0.0651902559807,0.159592202063698,0.143888508972993,0.0872593666148155,0.0341139200123872
"HD-ZIP",-0.0405034579118036,0.00474351911656281,-0.0140014110581735,0.031290512325495,-0.0374764435913909,-0.0175216720408997,-0.0473069681486876,0.0404089978089122,-0.00319292392162205,0.14115203637741,-0.0646799391945534,0.197820723275364,0.081955289314734,0.0700482773247123,-0.0868814247748787,-0.0383015062720287,-0.0825326242099679,-0.0669185426986515,0.124119661585013,-0.125865841904257,0.0733702930317292,0.10474228898023,0.0799879044298692,0.0552028092447721,0.105692442768399,-0.148045806535092,-0.0885765549523686,0.00880405522695129,-0.0162883406603502
"HSF",-0.00533511050051322,0.158520480335898,0.198419184447113,0.177489621886631,-0.140415969418468,-0.0277786113710131,0.00113199096890129,0.170109186948791,-0.318682157187423,0.0356836894555472,-0.308991647823843,0.289167057656178,-0.220303108529915,0.128274834508384,-0.127274739354147,0.152450986007802,-0.0799302561811067,-0.129019880865111,-0.186119782773483,0.0447412643007473,-0.173729727275764,-0.087006847685141,0.101876721160786,-0.0145045585868987,-0.0579561387850806,0.196845531747484,-0.265906934071912,-0.000458309184396014,0.0274794064570682
"LBD",-0.0639674195466494,-0.16743478013292,-0.0434932810015834,-0.00197785072921264,0.282081651606739,0.00824182380811014,-0.108261136942348,0.0187975405929534,0.070583865421816,0.127349183927645,-0.081106203045902,0.0158650679349862,-0.26415330891831,0.202719562828,0.121265096973803,-0.0374129919517275,0.0897347998740351,-0.0467758455085829,-0.0688808380769709,0.111089801887421,0.0379266036358576,0.0958179383113282,0.138051019136489,0.0599854190836889,0.00455000528622615,-0.0216133605064935,0.00394337819177513,0.0429290373490403,0.0432234816568922
"LOB",-0.0639674195466494,-0.16743478013292,-0.0434932810015834,-0.00197785072921264,0.282081651606739,0.00824182380811014,-0.108261136942348,0.0187975405929534,0.070583865421816,0.127349183927645,-0.081106203045902,0.0158650679349862,-0.26415330891831,0.202719562828,0.121265096973803,-0.0374129919517275,0.0897347998740351,-0.0467758455085829,-0.0688808380769709,0.111089801887421,0.0379266036358576,0.0958179383113282,0.138051019136489,0.0599854190836889,0.00455000528622615,-0.0216133605064935,0.00394337819177513,0.0429290373490402,0.0432234816568922
"MADF",0.0534531098624803,-0.115061111363721,0.0712624638417812,0.0341227841799135,0.214364471423321,-0.00426399053278518,0.21596123273535,-0.0849517099213977,0.0641885848410652,-0.0709551811659983,-0.146151518274465,0.226425297047932,0.26192859729016,0.190361806218612,-0.0647994399475777,0.021881006269892,0.157775278906265,0.396522536340278,-0.160689302379394,0.100788992064903,-0.2117537280385,-0.00255767847074199,0.158112648108105,-0.0618317754460679,0.0549633038329821,-0.0639482434521783,-0.0290978308549831,0.134945593561716,-0.0317117667501448
"MADSbox",-0.0582746214705946,0.0232271565074019,0.101997183305647,0.158760144135869,0.121100622434975,0.172444114191634,-0.0304152601392299,-0.268361047494563,-0.0200557241625911,-0.170320753452827,-0.0455473778242197,0.119807440455435,-0.258317155623128,-0.199812492695881,0.148110282032407,0.0684358412161479,-0.248438566688074,-0.0084298340862956,0.13754447229554,0.213320460834858,-0.150541160289032,0.136132274409448,0.0911811724830734,0.138471033921258,0.109492681168761,-0.419516707734165,0.0665675775251114,-0.0637698498151917,-0.0991553395517369
"MIKC",-0.227888862697483,0.244670495041575,0.0728317894573209,0.0240627932601137,0.0744620491658813,0.0355923769045562,-0.217336695382305,0.13593014328807,0.0086459848914681,-0.0430878603750676,0.114657667209591,0.00960056302073502,0.0464355151990194,-0.0147132442640042,0.186844629459526,-0.334813212293007,-0.135234199869893,0.0120836664584644,-0.204015307662481,-0.00959614101224367,-0.0403058659737689,0.134805115876984,-0.0160648726167742,0.22667681069233,-0.130342745266046,0.15832364014417,-0.0459966256427112,-0.0690672326109379,-0.0789599278166071
"M-type",-0.0206930379527947,0.106436566471646,-0.189589679875467,-0.00536170276132491,-0.239367905948882,0.412353567695449,-0.0282088443953623,-0.301071183599835,0.000519578445721249,0.145843944041851,-0.366687181338048,0.039824566043528,0.10024862757251,-0.0772689244634442,-0.223251791997015,-0.0942193075047139,0.269428546597543,0.0712819981614723,-0.0963537311165383,-0.135109594937604,0.0986934025619944,0.044909477765282,0.228266814525206,0.0933111648991244,0.109689617434005,0.00673888512118946,0.0246849419768622,0.0289119951643568,0.0444525271135074
"MYB",-0.0334652340675192,0.0255189370165258,-0.0814649216270816,0.0169280747535633,0.059188053544964,-0.0618275810550227,0.0253687315320499,0.0628379495032858,-0.0726039033931647,-0.06846843648644,0.0349256238910537,-0.0700829642361745,-0.000627967889468601,-0.0446766101712451,0.0209130380280213,-0.043471844211486,-0.0551269816246891,0.141417541598878,0.0737480374969088,-0.0094212909719843,0.239584064703941,-0.105499569851592,0.289318736601682,-0.182101546632592,0.0417681318133667,0.105032205075094,-0.18178065804994,0.00944830312919994,0.0325825940468671
"MYB-related",-0.0719955898350474,-0.0209763023887602,-0.140652537085068,-0.0360755754671271,-0.110642466280472,0.104010696771053,-0.0529922299260301,-0.0270252775101868,0.294071632176776,-0.170939005890774,-0.0144108177885906,0.0509743032211755,-0.148922525492519,0.114065959338177,0.26824783467982,0.313474583840236,0.107698678188226,-0.0260685979989237,-0.0702152879156988,-0.165516500201133,-0.0136346960163938,-0.166854374870362,-0.141407656947287,-0.101721605888516,0.0840338633639541,0.146292350349761,0.152018461783806,0.0870756366750304,-0.00239354236593894
"NAC",0.0111648000842353,0.0427486520080147,0.0458294089283847,0.0883223741109563,0.00645004164305539,0.111679059439145,-0.0302460999124067,-0.0143151890359593,-0.00506955893047471,0.00772000980747756,0.0481075935437624,0.0910611604554993,-0.133470402372003,-0.0310378323735874,0.0553504951166612,-0.144388370179343,0.0455605600604025,-0.0157374254500756,-0.0933814809285084,0.0404216465746953,0.123211481183297,-0.099174702475608,0.231494094660803,0.0778578460364631,-0.322486170315906,0.00286231622174586,0.00440595264813085,0.0163792977182537,0.0134592966694098
"NAM",-0.265043237339955,0.0261757554026274,-0.237984751871003,-0.011666410391724,-0.0464906972555902,0.0202123084895498,-0.0180939904012368,0.02305106670607,0.113648451585982,-0.0410735718970354,-0.0923430879438245,0.00352315413102803,-0.0787111516886761,0.00722880280009837,0.0488401884377459,0.0670824293857497,0.0459075505613022,-0.135133787957771,-0.0867772416361354,-0.164382959261326,-0.168368169518981,-0.175789722503538,0.0938522502757765,0.0745607014413732,-0.0105560012087628,0.15764944927262,0.117112694065318,0.0243675296817593,-0.0925435313367309
"NF-YA",-0.280781928955758,0.0775754961849551,-0.0351542494993796,-0.0350299759006368,0.0292300207432274,-0.0188991780290341,0.00563875925576318,0.00223483929376081,-0.00690155870460665,0.0776652807686113,0.0194486465604733,-0.0244737404920966,-0.0211870179816007,-0.0375993338057841,-0.0842289998147225,-0.000356391577179387,-0.00860091625131215,0.0509724062548927,0.00548922439041918,-0.0176870529792288,0.00134056714103091,-0.0176910121364917,0.0227837320613242,-0.0291994824353815,0.0310361094771293,0.00061799164108654,0.0382990291242121,-0.0420478022474959,0.0326210388137041
"NF-YC",-0.280781928955758,0.0775754961849551,-0.0351542494993796,-0.0350299759006368,0.0292300207432274,-0.0188991780290341,0.00563875925576318,0.00223483929376081,-0.00690155870460665,0.0776652807686113,0.0194486465604733,-0.0244737404920966,-0.0211870179816007,-0.0375993338057841,-0.0842289998147225,-0.000356391577179387,-0.00860091625131215,0.0509724062548927,0.00548922439041918,-0.0176870529792288,0.00134056714103091,-0.0176910121364917,0.0227837320613242,-0.0291994824353815,0.0310361094771293,0.00061799164108654,0.0382990291242121,-0.0420478022474959,0.0326210388137041
"Nin-like",0.107503438450094,0.127935854353467,-0.23659526777375,0.0382840030970266,-0.0299280091607948,-0.461265804774012,0.0805135193465818,0.0996834191335734,0.000652184780982309,0.241867743889871,-0.267389278715679,0.143152348568419,-0.0576995878389929,-0.0955605275094627,0.0817933497617636,0.182194036562762,0.0555836155955777,0.0176404954821377,-0.127864400324372,0.0142214799299337,0.223895830312778,0.0695745843727416,-0.11304073886143,0.130242406138704,0.0103408494333903,-0.0167184889775791,0.133173700364732,-0.145608865473749,-0.012647411583707
"PLATZ",0.00430300047827406,-0.0931514281621151,0.0112911052934601,0.0133556252644526,-0.199999896244739,0.0510166956052015,0.135658234761697,0.232410892059453,-0.0340430193402468,-0.0213664590804999,0.0794448377500167,0.0701981551739727,-0.266576250312209,-0.00167709066371873,0.00570981150334836,0.0365777261327045,-0.0586321540950589,0.235886410243704,0.176372094753583,-0.140622935385315,0.0215800250509218,0.0825762240917651,0.0486035872966705,0.050700727815234,-0.0175572591298708,-0.0494066492132637,0.124525190831202,-0.0384307030789819,-0.0505248014028369
"RAV",-0.246518735678617,-0.159589475549333,0.100969840225396,-0.0972331170907195,-0.0285992073570046,-0.120863508200446,-0.156407114351849,-0.073489752191679,-0.292276162614267,-0.0839931855133595,0.00650571778177656,-0.0106807042531664,-0.159135121394661,0.143370310476584,-0.150497721444333,0.0621644188397994,0.0569079711546101,-0.0136984859015232,0.211850584275428,0.130374294111574,0.17288634862036,-0.185642361808616,0.112326823882241,0.0189074400338458,0.0731982805838037,0.0424424861477402,0.0879610626751835,0.071099344077963,0.0084811235379521
"S1Fa-like",0.00430300047827406,-0.0931514281621151,0.0112911052934601,0.0133556252644526,-0.199999896244739,0.0510166956052015,0.135658234761697,0.232410892059453,-0.0340430193402468,-0.0213664590804999,0.0794448377500167,0.0701981551739727,-0.266576250312209,-0.00167709066371873,0.00570981150334836,0.0365777261327045,-0.0586321540950589,0.235886410243704,0.176372094753583,-0.140622935385315,0.0215800250509218,0.0825762240917651,0.0486035872966705,0.050700727815234,-0.0175572591298708,-0.0494066492132637,0.124525190831202,-0.0384307030789819,-0.0505248014028369
"SBP",-0.061618539484369,0.0734101707974012,-0.0356103592691253,-0.0467682834667047,-0.128423605536015,-0.0197179099577033,0.0015219853850038,0.0190624908459293,0.108822079559801,0.0568224238041538,0.192221317994538,0.328130516089426,0.0826817203365978,0.112895659610203,-0.235550578735815,0.0638352167274642,0.0447690158310198,-0.0990342596829242,0.157184469401955,0.15298896625383,0.226231634054935,0.25935120020459,-0.0190073038748138,-0.145042922634778,0.134056116771427,0.0780144778398173,0.239925810668539,0.106844417670521,0.000969430335727623
"Sox",-0.00093529559279447,-0.0573174972974949,0.0816743159741174,-0.0744515868752657,0.132776259092386,0.115608468151188,0.0498072021350216,0.307958189984942,-0.0869670461210494,0.0434249864807509,-0.105283570610142,-0.0447317897511568,0.0122942230147115,-0.131306470719362,-0.220961172769439,0.298161040668871,0.204928694972466,-0.19835488903751,-0.0319784786582267,0.136957082780485,-0.0799496609963875,-0.270367627189006,-0.0754386388242855,-0.0133819044820954,-0.230808106191594,-0.327783540838704,0.141349179920366,0.0440529428283806,0.0212293381401917
"SRS",-0.0593537166896713,0.0945792839418883,0.244360403467366,0.0843704753577482,0.0372294303066407,0.0860011884186816,-0.0680834215950861,0.318505758838772,0.426270383141665,0.332587516224453,-0.0710864947868382,0.0898411364147927,0.0632608017957323,-0.157448326748001,0.225634836440214,-0.0566076192540996,0.269567233406378,0.0558378128590803,0.189123089394321,0.297943620223018,-0.0102771351771527,-0.0415046512759403,0.0132752547933757,-0.149987383784914,0.0845585252225396,0.051787415438483,-0.0581508716343385,-0.0497947162195508,-0.0516408654816149
"Storekeeper",0.00513106519889449,-0.0229878859208866,0.272969696652024,-0.46790417370239,-0.0899995444524009,-0.0856011663312177,0.217243843121995,0.00729270548269127,0.003835003250461,-0.087479091822427,-0.0817244406906102,0.0990582973766055,-0.0798398960426087,0.0196385823400932,0.019722323342341,0.00363334334926001,-0.0769096636338023,0.222066578051383,-0.310784142000291,0.164791541465062,-0.00615851694740445,0.170106725158496,-0.105535819646124,0.0707535893519098,-0.0702024039476806,0.240161686308336,0.0173922542565481,0.021108976399604,-0.00138152781332772
"TALE",-0.280781928955758,0.0775754961849551,-0.0351542494993796,-0.0350299759006368,0.0292300207432274,-0.0188991780290341,0.00563875925576318,0.00223483929376081,-0.00690155870460665,0.0776652807686113,0.0194486465604733,-0.0244737404920966,-0.0211870179816007,-0.0375993338057841,-0.0842289998147225,-0.000356391577179387,-0.00860091625131215,0.0509724062548927,0.00548922439041918,-0.0176870529792288,0.00134056714103091,-0.0176910121364917,0.0227837320613242,-0.0291994824353815,0.0310361094771293,0.00061799164108654,0.0382990291242121,-0.0420478022474959,0.0326210388137041
"TCP",0.0753439482031563,0.131359233355827,-0.085801453221372,0.253543538550964,0.334325807258731,0.184791752021227,0.126097091309408,-0.050193195023352,-0.347663577269699,0.219646083994769,0.0939255768912082,-0.17130815859757,-0.0425397542642424,0.138450223207137,0.0784359954520141,0.168585033326168,0.0384892667587283,0.159149204405532,0.0108313443828166,-0.0457644480358914,0.14741216723531,0.270882705397359,-0.133581479956612,-0.326661469721526,-0.0756993754510653,0.163362227418203,0.0795617179775938,-0.00198018161780611,0.110092658476542
"TCR",-0.0387213055758846,-0.169538951196526,0.0272280790307672,0.00124018461794255,-0.0818960595470686,-0.10859280956659,-0.0457284166143666,-0.015394758196827,-0.13458852133176,0.11227942463908,0.024167724877697,0.315287389704538,0.192043003173891,0.0829882602217273,0.118231687590685,-0.155693863920796,0.0274820236447447,-0.0176744024443572,0.0401423938427148,-0.0522865099421671,0.261757067421442,-0.0480691024971086,-0.0641764804408037,0.12536971233774,-0.00698246564093756,-0.230712788524266,-0.0963292063211431,0.0159089881819144,0.0221577947504157
