"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29"
"Individual",0.251280245321862,0.0948488444769587,0.077625438634993,0.0699029063732134,0.0614976920808348,0.0516934469988168,0.049668158152501,0.0487392006868875,0.0397100587930097,0.0328045216958218,0.0289309844709129,0.0265749659322373,0.0245634341241194,0.0218089516038034,0.0187051480076778,0.0162872389079498,0.0149240667690649,0.0145922271453397,0.0121702311574805,0.00963831993434416,0.00783856460389121,0.00645217167464585,0.00600237057886266,0.0050161586316797,0.00368367338498887,0.0026986476587213,0.00234233219938207,0,0
"Cumulative",0.251280245321862,0.34612908979882,0.423754528433813,0.493657434807027,0.555155126887862,0.606848573886678,0.656516732039179,0.705255932726067,0.744965991519077,0.777770513214899,0.806701497685811,0.833276463618049,0.857839897742168,0.879648849345972,0.898353997353649,0.914641236261599,0.929565303030664,0.944157530176004,0.956327761333484,0.965966081267828,0.97380464587172,0.980256817546365,0.986259188125228,0.991275346756908,0.994959020141897,0.997657667800618,1,1,1
